回答1：测试用例少的时候用弱覆盖，测试用例多的时候用强覆盖   得分为：5.9
回答49：用例数量多，覆盖范围大，冗余少，用例典型性高，方法较复杂，时间长的用弱覆盖，反之用强覆盖   得分为：7.5
回答50：当要直观地从源代码获得测试用例，提高测试用例方法的简洁性和时间效率，减少测试用例的数量时，则无须细分每条判定表达式，此时用弱覆盖；当需要提高测试的覆盖率，精确缺陷定位，并且对于时间效率和测试用例典型性无硬性要求，希望得到程序执行的所有路径和彻底的测试结果时，此时用强覆盖。   得分为：4.9
回答51：测试用例，测试冗余要求少时使用弱覆盖，要求缺陷定位时用强覆盖   得分为：6.4
回答52：在时间效率允许的情况下，能用强覆盖就用强覆盖。用不了强覆盖的情况下再选择弱覆盖。   得分为：6.2
回答53：测试覆盖不强调组合覆盖使用弱覆盖，没有测试冗余使用弱覆盖，弱覆盖风险比较高，时间花费比较少，弱覆盖，测试用例的数量比较少   得分为：7.0
回答54：当测试用例数量少，方法简洁时使用弱覆盖，测试用例不典型，测试用例方法复杂时强覆盖   得分为：6.8
回答55：强覆盖与弱覆盖相比，测试用例更多，覆盖度更大，冗余度高，缺陷定位精准，简洁性低。因此在对软件进行最后测试和关键环节测试时，必须使用强覆盖，以检查出尽可能多的错误。而在程序的某个子程序之类的小部分进行测试时，使用弱覆盖即可，以节省时间，提高效率。   得分为：5.6
回答56：测试覆盖不强调组合覆盖时使用弱，没有测试冗余时使用弱，弱覆盖测试用例方法简洁，时间花费较少,风险较高   得分为：6.6
回答57：覆盖每一条等价类的时候使用弱覆盖， 每个等价类之间至少两两组合一次的时候用强覆盖。   得分为：5.8
回答58：当测试类较少时可以使用弱覆盖，更大程度上检测出软件存在的问题，但同时应注意测试冗余，测试用例之间避免重复测试；工程较大时，处于时间成本，使用弱覆盖   得分为：6.9
回答59：弱覆盖：时间效率要求很高，测试需要很简洁，缺陷定位要求低 强覆盖：时间效率要求不高，测试不用很简洁，缺陷定位要求高   得分为：6.8
回答60：测试用例数量多时强覆盖，少时弱覆盖，需要覆盖大部分程序时使用强覆盖，特别是高风险的使用强覆盖，在一些不太可能错误的地方使用弱覆盖，尽量减少冗余。   得分为：8.4
回答61：影响弱覆盖与强覆盖的选择： 测试用例的数量（弱覆盖自然少一些，同时时间效率也会高一些。在时间有限的时候需要弱覆盖。），缺陷定位（强覆盖定位更细致），测试冗余（弱覆盖冗余少一些？），测试用例方法的简洁性（弱覆盖更简洁），时间效率，   得分为：5.8
回答62：需要的测试用例数量多的时候用强覆盖，需要测试覆盖程度大时用强覆盖，要求测试冗余小时用弱覆盖，需要准确缺陷定位精确时用强覆盖，测试用例典型性高时用强覆盖，需要测试用例方法简洁用弱覆盖，需要时间效率高时用弱覆盖   得分为：6.8
回答63：用例数量少，测试冗余小，不需要缺陷定位，典型性，简洁性强需要弱覆盖。 强覆盖与之相反。   得分为：6.9
回答64：当判断和条件不复杂，需要花费是时间较少，危险性不高时用弱覆盖；当节点比较多，复杂时用强覆盖   得分为：6.0
回答65：强测试包含所有等价类和他们的结合，弱测试用例包含所有等价类   得分为：3.3
回答66：数量少、覆盖面积小、测试冗余度低，用例典型不全面时用弱测试   得分为：4.3
回答67：从测试用例数量考虑，用弱覆盖 从测试覆盖考虑，用强覆盖 从缺陷定位考虑，用强覆盖 从时间效率考虑，用弱覆盖 从简洁性考虑，弱覆盖 冗余一样   得分为：8.5
回答68：当测试用例数量小，测试覆盖面积小，测试冗余低，缺陷定位不足，典型性不高的情况下用强覆盖   得分为：6.0
回答69：弱覆盖：测试用例少，冗余度低，用例具有典型性，测试用例方法简洁。 强覆盖相反   得分为：6.0
回答70：测试用例多，对时间效率要求高，而对缺陷定位等质量要求低，则使用弱覆盖，反之使用强   得分为：7.2
回答71：弱覆盖:测试用例较少，覆盖度较低 强覆盖:用例较多，用例简洁性较差   得分为：6.1
回答72：当前的用例量，测试覆盖率，测试冗余小，用弱覆盖，反则强   得分为：6.2
回答73：测试用例的数量（弱覆盖少一些） 缺陷定位（弱覆盖定位更细致） 测试用例方法的简洁性（弱覆盖更简洁） 时间效率（弱覆盖效率高一些）   得分为：7.6
回答74：当测试用例较多时，测试要求简洁，时间效率要求要求高时，用弱覆盖   得分为：6.7
回答75：当测试用例较多时，测试要求简介，时间效率要求较高时，用弱覆盖。 当对缺陷定位要求高时，用强覆盖   得分为：8.2
回答76：弱覆盖: 使用典型测试用例，简洁测试 强覆盖: 测试用例多   得分为：5.2
